Session,Subject,Epoch_len,Epoch_Start,Label,Condition,ECG_Rate_Mean,ECG_Rate_SD,RSP_Rate_Mean,RSP_Amplitude_Mean,RSP_Rate_SD,Pupil_PctMax_Mean,Pupil_PctMax_Max,Pupil_PctMax_SD
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,660.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,690.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,720.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,750.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,780.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,810.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,840.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,870.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,900.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,930.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,960.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,990.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1020.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1050.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1080.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1110.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1140.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1170.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1200.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1230.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1260.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1290.0,silence,tsik,,,,,,,,
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1320.0,silence,tsik,334.6710597524578,10.76947128662177,82.83682550501322,0.0396866883918296,4.2871276328283825,81.3894919073689,92.6286588913275,6.76665705854831
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1350.0,silence,tsik,331.70659251491827,12.71425863636815,75.63672691544741,0.05003792699276919,11.229325168323365,67.92191146867981,93.37772817274534,13.164376068395674
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1380.0,silence,tsik,333.6409668192482,18.632557982714037,75.70418977211571,0.03913759135354556,6.317502996812575,76.43981644969912,96.92332277145643,13.627081021173584
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1410.0,silence,tsik,330.26468543316224,12.533586663780506,76.05982103163556,0.03824223763917945,7.59749109702868,73.16654074463021,95.41269972059713,20.14585138214984
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1440.0,silence,tsik,338.77838470741324,17.204216118706782,72.34581215377067,0.11083350690431669,14.113451109410216,84.86732128784992,102.3665595497594,8.09782010035204
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1470.0,silence,tsik,330.2307755810701,7.598804592615219,73.92472430712952,0.05653167223045687,6.2385735912927585,75.52509575845035,100.38776819801394,14.4785744415224
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1500.0,tsik,tsik,336.32270737148406,13.041194045766744,74.5560910697491,0.055911164376014795,11.490691682438085,74.37285457612299,89.43262995727805,8.55229980952099
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1530.0,washout,tsik,318.3851369131157,10.696763768682274,77.648247283231,0.0390885808122698,4.9416263641881875,68.72227315379098,91.14924706052727,18.308327636761582
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1560.0,silence,tsik,314.4057365683948,9.391472433689591,74.7296642112624,0.03818523205250497,6.081590210737748,61.82498279895666,88.1467276908441,15.051316847785534
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1590.0,silence,tsik,325.73867298578796,18.661384182467998,73.22197215516469,0.03766847320332209,8.281131859502912,76.48166374163941,102.31662159766488,20.122159599554486
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1620.0,silence,tsik,321.3823772545525,12.559974911874361,70.8476440708753,0.04214544705632851,6.003865685785453,71.225511510846,92.48508727905575,16.29601656119939
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1650.0,silence,tsik,320.57876410246877,11.23743707785757,70.72283904246949,0.038527089723043674,4.796571509570153,60.93180186322391,89.76971113391609,17.66952608897787
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1680.0,silence,tsik,315.4312014177783,8.26007195454379,71.8829810215704,0.03710491004888369,4.595668828224055,62.91449346898778,95.44391094065621,16.79269018674566
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1710.0,tsik,tsik,313.155254438573,6.8537396102529495,73.24925975018492,0.03823657831898313,10.13281949120977,70.30777521970758,97.07313662774001,18.09473868916664
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1740.0,washout,tsik,300.5463180371284,11.259554901626684,74.93755648512303,0.03426992302830012,5.005139883829738,65.97683091658904,92.35400015480762,16.655264650102737
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1770.0,silence,tsik,319.9453647037364,12.578930597228778,73.1751490928649,0.04294096054216486,6.57240459820379,79.18415937333951,96.44891222655846,15.119713939945362
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1800.0,silence,tsik,315.1377480221862,6.829061957547446,73.38201268134631,0.04047994162199838,8.508158414354774,80.0841623898277,96.60496832685385,18.948197441139836
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1830.0,silence,tsik,307.7266817236308,7.7882872441482425,70.08016183659517,0.042368001973467656,5.815989074424144,70.30748370620593,96.9857452115746,17.505597209059793
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1860.0,silence,tsik,309.9253496894411,9.155516612755829,71.48599994802753,0.039795569150631184,3.5807121354787266,74.72772027361228,94.77599083139197,14.279354166033203
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1890.0,tsik,tsik,311.0697715641829,8.241469880583873,69.94563425147037,0.038560689634443694,8.317803257217216,61.71377551452362,97.08562111576363,15.113707951312849
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1920.0,washout,tsik,312.4846296355263,9.004335219641026,79.46083363323308,0.04202334261972873,6.527344021278672,69.12520317517983,98.9832632953555,15.927427403996548
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1950.0,silence,tsik,320.8986612481028,10.303487566556734,70.29840347800686,0.12393817833673215,12.027901089595554,83.32913127287027,96.43018549452303,8.807044140150559
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,1980.0,silence,tsik,310.99244032617014,7.4281799277256795,71.86035875291275,0.039977574688276105,5.778713399555242,63.502815150723634,97.99698874148866,14.527399439200982
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,2010.0,silence,tsik,303.2720436844325,13.33473220876746,73.022606744343,0.037167182238451564,3.6968810636420355,83.46109514835551,102.82848560663373,13.534107109190908
20260407_Freddy_tsik(ecg_resp).acq,Freddy,30,2040.0,silence,tsik,306.5412048036171,6.314650066462635,71.61700406479552,0.036984596237124655,6.911397569656748,59.62087811931695,90.04436987043596,15.594132435217492
20260413_Freddy_trill(ecg_resp).acq,Freddy,30,0.0,silence,trill,,,,,,,,
20260413_Freddy_trill(ecg_resp).acq,Freddy,30,30.0,silence,trill,,,,,,,,
20260413_Freddy_trill(ecg_resp).acq,Freddy,30,60.0,silence,trill,,,,,,,,
20260413_Freddy_trill(ecg_resp).acq,Freddy,30,90.0,silence,trill,,,,,,,,
20260413_Freddy_trill(ecg_resp).acq,Freddy,30,120.0,silence,trill,,,,,,,,
20260413_Freddy_trill(ecg_resp).acq,Freddy,30,150.0,silence,trill,,,,,,,,
20260413_Freddy_trill(ecg_resp).acq,Freddy,30,180.0,silence,trill,,,,,,,,
20260413_Freddy_trill(ecg_resp).acq,Freddy,30,210.0,silence,trill,,,,,,,,
